geo_unit,X,Y
COLD HESLEDON,54.881099700927734,-1.5347000360488892
COLLIERY,54.869598388671875,-1.749500036239624
CONSETT,54.854400634765625,-1.830199956893921
CORNFORTH,54.70479965209961,-1.5132800340652466
CORNSAY,54.7661018371582,-1.7990599870681763
COUNDON,54.66709899902344,-1.6456700563430786
COUNDON GRANGE,54.64680099487305,-1.6473000049591064
COWPEN BEWLEY,54.589698791503906,-1.233199954032898
COXHOE,54.71689987182617,-1.4950000047683716
CRAGHEAD,54.85319900512695,-1.6663000583648682
CROOK AND BILLY ROW,54.71630096435547,-1.7461999654769897
DALTON LE DALE,54.881099700927734,-1.5347000360488892
DALTON PIERCY,54.67409896850586,-1.2764300107955933
DARLINGTON,54.54140090942383,-1.557960033416748
DAWDON,54.83649826049805,-1.3386000394821167
DENTON,54.57270050048828,-1.6713600158691406
DURHAM,54.77579879760742,-1.5817999839782715
EASINGTON,54.749298095703125,-1.2903000116348267
EAST AND MIDDLE HERRINGTON,54.86159896850586,-1.4562699794769287
EAST AND WEST NEWBIGGIN,54.578800201416016,-1.4523500204086304
EAST MURTON,54.8224983215332,-1.3852299451828003
EAST RAINTON,54.832298278808594,-1.4771000146865845
EAST THICKLEY,54.62620162963867,-1.6441999673843384
EBCHESTER,54.88410186767578,-1.8454999923706055
EDMONDBYERS,54.85929870605469,-1.9811999797821045
EDMONDSLEY,54.84410095214844,-1.6475399732589722
EGGLESCLIFFE,54.5182991027832,-1.3598999977111816
EGGLESTON,54.7755012512207,-1.378909945487976
ELDON,54.654998779296875,-1.565269947052002
ELSTOB,54.59159851074219,-1.4839099645614624
ELTON,54.549400329589844,-1.3779900074005127
ELWICK,54.683799743652344,-1.2949999570846558
ELWICK HALL,54.64820098876953,-1.3036600351333618
EMBLETON,54.67219924926758,-1.3701200485229492
ESCOMB,54.70209884643555,-1.5993000268936157
ESH,54.81549835205078,-1.3830000162124634
EVENWOOD AND BARONY,54.618900299072266,-1.761430025100708
FERRYHILL,54.68669891357422,-1.5636999607086182
FISHBURN,54.68349838256836,-1.4404000043869019
FORD,54.906700134277344,-1.4505000114440918
FOREST AND FRITH,54.69340133666992,-1.1963000297546387
FOXTON AND SHOTTON,54.61759948730469,-1.4430999755859375
FRAMWELLGATE MOOR,54.80619812011719,-1.5871800184249878
FULWELL,54.903499603271484,-1.3729300498962402
GAINFORD,54.54710006713867,-1.7265299558639526
GARMONDSWAY MOOR,54.70479965209961,-1.5132800340652466
GATESHEAD,54.95560073852539,-1.5855000019073486
GREAT AYCLIFFE,54.61289978027344,-1.5712800025939941
GREAT BURDON,54.54359817504883,-1.5111000537872314
GREAT EPPLETON,54.826499938964844,-1.4316699504852295
GREATHAM,54.64189910888672,-1.2389999628067017
GREENCROFT,54.84550094604492,-1.7732199430465698
GREENCROFT WITHIN,54.858299255371094,-1.7346999645233154
GRINDON,54.61650085449219,-1.3500499725341797
HAMSTERLEY,54.674800872802734,-1.8229999542236328
HARRATON,54.88629913330078,-1.5212500095367432
HART,54.707801818847656,-1.272089958190918
HARTLEPOOL,54.700401306152344,-1.1888400316238403
HARTON,54.97819900512695,-1.407829999923706
HASWELL,54.69810104370117,-1.6028000116348267
HAUGHTON LE SKERNE,54.53889846801758,-1.5188000202178955
HAWTHORN,54.836700439453125,-1.3339999914169312
HEADLAM,54.57749938964844,-1.7566100358963013
HEALEYFIELD,54.83399963378906,-1.8929500579833984
HEBBURN,54.98249816894531,-1.5118399858474731
HEDLEYHOPE,54.770999908447266,-1.7704099416732788
HEIGHINGTON,54.58470153808594,-1.6342400312423706
HELMINGTON ROW,54.71419906616211,-1.7379000186920166
HETT,54.724098205566406,-1.5640000104904175
HETTON LE HOLE,54.80780029296875,-1.4350999593734741
HEWORTH,54.9473991394043,-1.5683000087738037
HIGH CONISCLIFFE,54.537498474121094,-1.6674100160598755
HILTON,54.583900451660156,-1.7230099439620972
HOUGHTON LE SIDE,54.595401763916016,-1.6168999671936035
HOUGHTON LE SPRING,54.84120178222656,-1.4641400575637817
HUNSTANWORTH,54.82109832763672,-2.0785000324249268
HUNWICK AND HELMINGTON,54.70349884033203,-1.7379900217056274
HURWORTH,54.50230026245117,-1.5283700227737427
HUTTON HENRY,54.704898834228516,-1.3548099994659424
HYLTON,54.917701721191406,-1.440500020980835
INGLETON,54.57979965209961,-1.7340999841690063
IVESTON,54.860599517822266,-1.8087999820709229
JARROW,54.982601165771484,-1.4953999519348145
KELLOE,54.729400634765625,-1.471459984779358
KILLERBY,54.57270050048828,-1.6713600158691406
KIMBLESWORTH,54.87350082397461,-1.407170057296753
KNITSLEY,54.83940124511719,-1.8155800104141235
KYO,54.85900115966797,-1.7545299530029297
LAMBTON,54.856201171875,-1.5080699920654297
LAMESLEY,54.91780090332031,-1.566499948501587
LANCHESTER,54.822898864746094,-1.7451000213623047
LANGLEY,54.813899993896484,-1.700369954109192
LANGLEYDALE WITH SHOTTON,54.604000091552734,-1.9215600490570068
LANGTON,54.57749938964844,-1.7566100358963013
LITTLE EPPLETON,54.826499938964844,-1.4316699504852295
LITTLE LUMLEY,54.84700012207031,-1.513700008392334
LITTLE STAINTON,54.57379913330078,-1.4616999626159668
LONG NEWTON,54.555599212646484,-1.420549988746643
LOW CONISCLIFFE,54.53239822387695,-1.6507999897003174
LOW DINSDALE,54.48640060424805,-1.5329999923706055
LOW SPENNYMOOR,54.69990158081055,-1.5841000080108643
LYNESACK AND SOFTLEY,54.622798919677734,-1.8562999963760376
MAINSFORTH,54.77539825439453,-1.7101600170135498
MARWOOD,54.57780075073242,-1.9744399785995483
MEDOMSLEY,54.902801513671875,-1.8035399913787842
MERRINGTON,54.69380187988281,-1.7086999416351318
MERRINGTON LANE,54.85340118408203,-1.6692999601364136
MIDDLESTONE,54.68659973144531,-1.623900055885315
MIDDLETON,54.69390106201172,-1.1959999799728394
MIDDLETON IN TEESDALE,54.593299865722656,-1.291700005531311
MIDDLETON ST. GEORGE,54.51499938964844,-1.4483000040054321
MIDDRIDGE,54.678199768066406,-1.7086100578308105
MIDDRIDGE GRANGE,54.678199768066406,-1.7086100578308105
MONK HESLEDEN,54.74729919433594,-1.2883000373840332
MONKTON,54.964698791503906,-1.4600399732589722
MOOR HOUSE,54.80590057373047,-1.5082600116729736
MOORSLEY,54.826499938964844,-1.4316699504852295
MORDON,54.64830017089844,-1.4671900272369385
MORTON GRANGE,54.842201232910156,-1.5106799602508545
MORTON PALMS,54.55080032348633,-1.5022900104522705
MORTON TINMOUTH,54.58599853515625,-1.7092000246047974
MUGGLESWICK,54.8140983581543,-1.917799949645996
NEASHAM,54.48160171508789,-1.4921000003814697
NESBITT,54.70920181274414,-1.3172199726104736
NEVILLES CROSS,54.77080154418945,-1.5901000499725342
NEWBIGGIN,54.807899475097656,-1.5192300081253052
NEWBOTTLE,54.840599060058594,-1.5018999576568604
NEWFIELD,54.69599914550781,-1.6827000379562378
NEWSHAM,54.493099212646484,-1.4179400205612183
