geo_unit,X,Y
E02005134,635407.4951,170287.6708
E02004690,462740.4282,150188.3632
E02006925,542370.1029,189177.4519
E02000499,511346.3938,187770.4813
E02001840,409088.8887,293724.4858
E02004130,316408.3698,100595.9319
E02001919,408693.8229,283099.7964
E02000983,529451.347,178079.2498
E02004286,367139.1331,77862.1196
E02003895,225698.7011,64767.2161
E02005039,557080.1353,171285.5728
E02003026,356193.2428,175823.6445
W02000346,343372.6474,187344.718
E02005043,637014.6461,152683.4311
E02000906,536716.1618,189810.8969
E02006103,327964.4007,125655.7824
E02003948,146768.4805,31121.6856
E02003536,464726.14,101333.5978
E02000090,545927.2842,172205.0912
E02003918,166969.4214,43380.5247
E02000515,505792.3895,181312.1719
E02003331,579799.5785,167126.7315
E02006662,415999.0255,144282.8965
E02005175,576573.2468,130589.8569
E02000649,530030.3051,171376.0352
E02002992,372628.2766,165445.3852
E02006989,246992.6237,54960.9429
E02003514,530574.3977,104994.1218
E02006388,528061.7988,148591.1961
E02003130,244694.2673,58143.3286
E02003522,533410.5303,103694.8701
E02006328,507652.2665,164801.284
E02000532,520821.7701,177765.8375
E02001902,413320.7405,284670.8486
E02000947,525269.3698,173163.0742
E02003085,332925.4113,159946.106
E02000851,526015.5307,164678.6061
E02003389,472761.4278,176438.707
E02004702,480296.5289,135220.411
E02000184,529351.1821,183863.8821
E02000377,522224.8562,179781.4209
E02006651,389893.2954,177730.5832
E02003076,342865.4447,165901.3397
E02006396,503359.2532,168365.0307
E02000411,534571.7283,189700.346
E02004220,244982.568,129445.1186
E02004422,562635.3818,104452.4356
E02003896,224928.7514,64390.0615
E02000563,529968.0525,185477.406
E02000225,538395.8477,162753.6924
E02005037,551030.216,172117.9526
E02000782,543736.4712,185679.6573
E02006628,514138.537,103530.702
E02005136,633727.0349,169879.2413
E02001888,414405.9344,286288.1396
E02000873,535922.3947,182646.6139
E02006353,489302.483,150864.5127
E02003557,442569.1149,114668.1831
E02003506,528063.8545,105550.6426
E02000105,517093.2069,185771.4863
E02000671,536194.6255,173769.0497
E02005130,595436.0454,162400.6452
E02004687,460687.5674,151432.3651
E02004178,247897.9242,139912.9036
E02003942,206109.6561,66818.7906
E02000492,553525.4384,182828.6343
E02003398,473182.6918,173372.3572
E02000904,538363.0213,190393.6464
E02003182,412569.0785,93207.0711
E02001936,407035.1553,280718.0155
E02003374,466894.2174,171650.4146
E02003524,463763.2318,106207.4125
E02000524,506552.6021,177814.6749
E02006638,400278.3356,161203.6415
E02004381,541411.7145,110590.6576
E02006413,509689.5615,168832.8862
E02004790,415621.2922,105109.87
E02006377,523240.7512,158546.57
E02000675,540376.9733,173276.6793
E02003227,417014.4076,184739.3465
E02000465,554952.3318,191935.0888
E02006365,517215.0701,156463.8565
E02000954,527851.1996,172014.8059
E02006384,527514.587,151014.4739
E02006661,413912.0907,144259.4299
E02003149,249159.499,54568.3718
E02004778,473332.9994,98868.1785
E02000483,553876.0366,187143.765
E02001859,407287.7962,290429.9777
E02001856,409428.7295,291017.7539
E02001951,399034.4102,278402.5542
E02004793,428693.0046,99892.6447
E02006615,530145.0136,119671.1836
E02005044,637578.3747,152186.5915
E02004159,295455.5085,91647.6606
E02000587,525297.4305,179198.1554
E02006572,487694.1998,104112.185
E02003515,533391.8837,104713.4787
E02000701,528114.536,169416.6179
E02003037,357461.1644,173963.3948
E02006970,512230.688,179144.2207
E02006601,521104.8123,116040.1333
E02006430,532690.1001,156532.1677
E02000040,523657.6968,191919.3781
E02004835,447881.0591,129539.6572
E02003028,357812.8599,175551.5228
E02004161,294005.935,91492.1856
E02004218,288064.2995,67997.117
E02003530,465375.9355,103671.0341
E02006369,520109.309,150157.573
E02003946,155517.4166,32610.7199
W02000326,327765.5011,200921.948
W02000345,347692.9935,188213.5016
E02000236,528972.4496,159082.4223
E02003324,572237.821,168451.0413
E02003551,443920.4113,115871.569
E02001899,402067.5016,285058.9249
E02000957,527704.1037,171079.3139
E02000251,513582.0064,182079.8546
E02000183,528201.1895,184019.4719
E02000543,513698.5483,175382.6937
E02003207,398628.9453,91454.2279
E02003580,444912.0772,109950.1394
E02000396,525593.4738,176025.2967
E02004242,418178.96,92562.9426
E02000117,521440.3848,184286.8063
E02003521,532368.4109,103930.4352
E02000653,536285.095,178619.4974
E02003088,343552.188,159009.6407
E02006440,484026.4348,149026.4863
E02000813,535355.7543,179463.75
E02003080,335690.717,162566.6639
E02000517,508674.2284,181310.4978
E02000539,515983.6532,176244.601
E02006107,324159.0268,124366.9241
E02006605,531639.8564,139047.4081
E02000815,532300.0325,179171.4989
E02004217,275293.0043,69405.4829
E02000363,535579.9072,184824.8042
E02002994,377785.8199,166301.4531
E02006392,528429.3125,142937.6572
W02000338,326428.6916,213892.1058
E02003180,408774.4959,94012.5678
E02005022,614887.5412,159318.513
E02000106,521414.5088,185835.0746
E02004746,456873.6411,100558.0585
E02003039,362865.5283,173828.7426
E02000631,532184.6864,175648.2866
E02000498,508359.8361,188006.1485
E02006104,325432.5302,126024.7774
E02004768,468840.7033,108499.329
E02006941,533796.1386,179905.8257
E02006626,510905.8008,104048.8192
E02006693,386270.419,144913.0904
E02006425,488280.9038,158096.9767
E02003538,465412.8165,100682.4428
E02000114,522893.0594,184655.4226
E02003894,235893.813,69691.7978
E02000071,549902.193,177249.0626
E02006895,406578.5385,285807.7343
E02006625,515097.3733,104343.1982
E02000704,523262.6416,169102.4875
E02007040,409911.2115,283274.4275
E02005012,617001.9176,167436.2423
E02006355,497295.593,150199.5581
E02006840,289892.9556,64272.2973
E02005035,555975.0637,173241.622
W02000104,311038.2389,291830.5394
E02003221,415441.4968,186034.1484
E02000305,531172.5847,193166.4796
E02003012,357058.7689,179170.0024
E02001949,405454.5744,278676.303
E02003414,495424.8004,179869.3066
E02000818,532553.8667,178650.9113
E02000861,526938.6991,162905.8258
E02003383,452288.0599,167287.2136
E02000938,522893.0491,174311.2847
E02003937,197584.8589,76411.652
E02000078,550632.4811,176360.6488
E02003513,527557.5051,105061.521
E02006402,504584.8675,162170.7511
E02000489,552363.3692,185374.1083
E02006555,493509.0562,100278.2752
E02004765,469277.2943,109828.215
E02003432,495976.5926,176598.0279
E02006857,563135.6794,101069.4367
E02006370,516700.9818,149997.0788
E02007074,442509.8299,111564.4654
E02006801,531123.112,179703.6613
E02006399,504747.2671,164981.0935
E02006566,486429.3017,107280.2319
E02006416,494716.353,163568.5225
E02000425,533883.1279,188359.5758
E02003317,574387.4402,170764.007
E02003108,367958.1417,177406.6321
E02006339,520025.7414,162140.4873
E02000650,533111.5972,171138.2739
E02003148,248191.3588,54750.8607
E02003073,347796.2856,170218.7038
E02001875,406199.1196,288587.1129
